"year","title","authors","source","volume","issue","doi","document_type","language"
2003,"Does uptake of Alexandrium fundyense cysts contribute to the levels of PSP toxin found in the sea scallop, Placopecten magellanicus?","Haya, K; Martin, JL; Robinson, SMC; Martin, JD; Khots, A","Harmful Algae","2","1","10.1016/S1568-9883(02)00068-9","Article","English"
2004,"Accumulation and depuration of microcystins (cyanobacteria hepatotoxins) in Tilapia rendalli (Cichlidae) under laboratory conditions","Soares, RA; Magalhaes, VF; Azevedo, SMFO","Aquatic Toxicology","70","1","10.1016/j.aquatox.2004.06.013","Article","English"
1997,"Domoic acid uptake and depuration in Dungeness crab (Cancer magister Dana 1852)","Lund, JAK; Barnett, HJ; Hatfield, CL; Gauglitz, EJ; Wekell, JC; Rasco, B","Journal of Shellfish Research","16","1",NA,"Article","English"
1991,"MONITORING THE ACCUMULATION AND DEPURATION OF PARALYTIC SHELLFISH TOXINS IN MOLLUSCAN SHELLFISH BY HIGH-PERFORMANCE LIQUID-CHROMATOGRAPHY AND IMMUNOLOGICAL METHODS","CEMBELLA, AD; LAMOUREUX, G","Molluscan Shellfish Depuration",NA,NA,NA,"Proceedings Paper","English"
2020,"Paralytic shellfish toxin profiles in mussel, cockle and razor shell under post-bloom natural conditions: Evidence of higher biotransformation in razor shells and cockles","Botelho, MJ; Marques, F; Freitas, R; Pires, A; Pereira, E; Vale, C","Marine Environmental Research","154",NA,"10.1016/j.marenvres.2019.104839","Article","English"
2011,"ACCUMULATION AND DEPURATION OF YESSOTOXIN IN TWO BIVALVES","Röder, K; Fritz, N; Gerdts, G; Luckas, B","Journal of Shellfish Research","30","1","10.2983/035.030.0124","Article","English"
2019,"Paralytic Shellfish Toxins and Ocean Warming: Bioaccumulation and Ecotoxicological Responses in Juvenile Gilthead Seabream (Sparus aurata)","Barbosa, V; Santos, M; Anacleto, P; Maulvault, AL; Pousao-Ferreira, P; Costa, PR; Marques, A","Toxins","11","7","10.3390/toxins11070408","Article","English"
2002,"Fate of paralytic shellfish poisoning toxins in purple clam Hiatula rostrata, in outdoor culture and laboratory culture","Chen, CY; Chou, HN","Marine Pollution Bulletin","44","8","10.1016/S0025-326X(01)00307-1","Article","English"
2022,"The value of toxin profiles in the chemotaxonomic analysis of paralytic shellfish toxins in determining the relationship between British Alexandrium spp. and experimentally contaminated Mytilus sp.","Lewis, AM; Dean, KJ; Hartnell, DM; Percy, L; Turner, AD; Lewis, JM","Harmful Algae","111",NA,"10.1016/j.hal.2021.102131","Article","English"
1993,"INFLUENCE OF INITIAL TOXICITY AND EXTRACTION PROCEDURE ON PARALYTIC TOXIN CHANGES IN THE MUSSEL","LASSUS, P; LEDOUX, M; BARDOUIL, M; BOHEC, M","Toxicon","31","3","10.1016/0041-0101(93)90142-6","Article","English"
2002,"Complex toxin profiles in phytoplankton and Greenshell mussels (Perna canaliculus), revealed by LC-MS/MS analysis","MacKenzie, L; Holland, P; McNabb, P; Beuzenberg, V; Selwood, A; Suzuki, T","Toxicon","40","9","10.1016/S0041-0101(02)00143-5","Article","English"
2007,"Accumulation and depuration of cyanobacterial toxin nodularin and biomarker responses in the mussel Mytilus edulis","Kankaanpää, H; Leiniö, S; Olin, M; Sjövall, O; Meriluoto, J; Lehtonen, KK","Chemosphere","68","7","10.1016/j.chemosphere.2007.01.076","Article","English"
2015,"Heritability estimation for okadaic acid algal toxin accumulation, mantle color and growth traits in Mediterranean mussel (Mytilus galloprovincialis)","Pino-Querido, A; Alvarez-Castro, JM; Guerra-Varela, J; Toro, MA; Vera, M; Pardo, BG; Fuentes, J; Blanco, J; Martínez, P","Aquaculture","440",NA,"10.1016/j.aquaculture.2015.01.032","Article","English"
2019,"Lipophilic Toxins in Galicia (NW Spain) between 2014 and 2017: Incidence on the Main Molluscan Species and Analysis of the Monitoring Efficiency","Blanco, J; Arévalo, F; Correa, J; Moroño, A","Toxins","11","10","10.3390/toxins11100612","Article","English"
2003,"Accumulation and depuration of microcystin produced by the cyanobacterium Microcystis in a freshwater snail","Ozawa, K; Yokoyama, A; Ishikawa, K; Kumagai, M; Watanabe, MF; Park, HD","Limnology","4","3","10.1007/s10201-003-0106-1","Article","English"
2024,"Protein-Bound Uremic Toxins and Inflammation Process in Hemodialysis Patients: Is There a Role for Adsorption Hemodiafiltration?","Fabbrini, P; Vergani, D; Malinverno, A; Pieruzzi, F; Marengo, M; Merlotti, G; Medana, C; Quercia, AD; Cantaluppi, V","Blood Purification","52","SUPPL 1","10.1159/000540402","Article","English"
2011,"Experimental model of microcystin accumulation in the liver of Oreochromis niloticus exposed subchronically to a toxic bloom of Microcystis sp.","Deblois, CP; Giani, A; Bird, DF","Aquatic Toxicology","103","1-2","10.1016/j.aquatox.2011.02.006","Article","English"
2003,"Accumulation and transformation of DSP toxins in mussels Mytilus galloprovincialis during a toxic episode caused by Dinophysis acuminata","Moroño, A; Arévalo, F; Fernández, ML; Maneiro, J; Pazos, Y; Salgado, C; Blanco, J","Aquatic Toxicology","62","4","10.1016/S0166-445X(02)00105-4","Article","English"
2024,"Understanding the risks of co-exposures in a changing world: a case study of dual monitoring of the biotoxin domoic acid and Vibrio spp. in Pacific oyster","Lie, AAY; Zimmer-Faust, AG; Diner, RE; Kunselman, E; Daniel, Z; Van Artsdalen, K; Garcia, MCS; Gilbert, JA; Shultz, D; Chokry, J; Langlois, K; Smith, J","Environmental Monitoring and Assessment","196","5","10.1007/s10661-024-12614-1","Article","English"
2013,"Bioaccumulation and depuration of brevetoxins in the eastern oyster (Crassostrea virginica) and the northern quahog (= hard clam, Mercenaria mercenaria)","Griffith, AW; Shumway, SE; Volety, AK","Toxicon","66",NA,"10.1016/j.toxicon.2013.01.016","Article","English"
2010,"Effect of food supply on the detoxification in the blue mussel, Mytilus edulis, contaminated by diarrhetic shellfish toxins","Marcaillou, C; Haure, J; Mondeguer, F; Courcoux, A; Dupuy, B; Pénisson, C","Aquatic Living Resources","23","3","10.1051/alr/2010026","Article","English"
2011,"Uptake, distribution and depuration of paralytic shellfish toxins from Alexandrium minutum in Australian greenlip abalone, Haliotis laevigata","Dowsett, N; Hallegraeff, G; van Ruth, P; van Ginkel, R; McNabb, P; Hay, B; O'Connor, W; Kiermeier, A; Deveney, M; McLeod, C","Toxicon","58","1","10.1016/j.toxicon.2011.05.010","Article","English"
2010,"Amnesic shellfish poisoning (ASP) toxins in plankton and molluscs from Luanda Bay, Angola","Blanco, J; Livramento, F; Rangel, IM","Toxicon","55","2-3","10.1016/j.toxicon.2009.10.008","Article","English"
2005,"Yessotoxins in Norwegian blue mussels (Mytilus edulis):: uptake from Protoceratium reticulatum, metabolism and depuration","Aasen, J; Samdal, IA; Miles, CO; Dahl, E; Briggs, LR; Aune, T","Toxicon","45","3","10.1016/j.toxicon.2004.10.012","Article","English"
2020,"Molecular Responses of Mussel Mytilus galloprovincialis Associated to Accumulation and Depuration of Marine Biotoxins Okadaic Acid and Dinophysistoxin-1 Revealed by Shotgun Proteomics","Martins, JC; Domínguez-Pérez, D; Azevedo, C; Braga, AC; Costae, PR; Osório, H; Vasconcelos, V; Campos, A","Frontiers in Marine Science","7",NA,"10.3389/fmars.2020.589822","Article","English"
2019,"Variability and profiles of lipophilic toxins in bivalves from Great Britain during five and a half years of monitoring: azaspiracids and yessotoxins","Dhanji-Rapkova, M; ONeill, A; Maskrey, BH; Coates, L; Swan, SC; Alves, MT; Kelly, RJ; Hatfield, RG; Rowland-Pilgrima, SJ; Lewis, AM; Turner, AD","Harmful Algae","87",NA,"10.1016/j.hal.2019.101629","Article","English"
2020,"Toxicity, transfer and depuration of anatoxin-a (cyanobacterial neurotoxin) in medaka fish exposed by single-dose gavage","Colas, S; Duval, C; Marie, B","Aquatic Toxicology","222",NA,"10.1016/j.aquatox.2020.105422","Article","English"
1993,"ORIGIN AND TRANSFER OF TOXINS INVOLVED IN CIGUATERA","LEWIS, RJ; HOLMES, MJ","Comparative Biochemistry and Physiology C-Pharmacology Toxicology and Endocrinology","106","3","10.1016/0742-8413(93)90217-9","Review","English"
2019,"Geographical distribution and seasonal variation in paralytic shellfish toxins in the coastal water of the South China Sea","Yao, JY; Jin, W; Li, DM; Xu, DY; Wen, SY; Liu, RY; Liang, YB; Lu, SH","Toxicon","168",NA,"10.1016/j.toxicon.2019.06.221","Article","English"
1995,"DETECTION OF CIGUATERA AND DIARRHEIC SHELLFISH TOXINS IN FINFISH AND SHELLFISH WITH CIGUATECT KIT","PARK, DL","Journal of Aoac International","78","2",NA,"Article; Proceedings Paper","English"
2004,"Diarrhoetic shellfish poisoning toxins in Cancer pagurus Linnaeus, 1758 (Brachyura, Cancridae) in Norwegian waters","Castberg, T; Torgersen, T; Aasen, J; Aune, T; Naustvoll, LJ","Sarsia","89","5","10.1080/00364820410002550","Article","English"
2006,"The uptake, distribution and elimination of paralytic shellfish toxins in mussels and fish exposed to toxic dinoflagellates","Kwong, RWM; Wang, WX; Lam, PKS; Yu, PKN","Aquatic Toxicology","80","1","10.1016/j.aquatox.2006.07.016","Article","English"
2006,"Continuous fluorescence recording as a way to improve Pacific oyster (Crassostrea gigas) models of paralytic shellfish toxin accumulation","Baron, R; Couedel, M; Joret, C; Garen, P; Truquet, P; Masselin, P; Bardouil, M; Lassus, P","Aquatic Living Resources","19","1","10.1051/alr:2006007","Article","English"
2007,"Uptake, tissue distribution and excretion of domoic acid after oral exposure in coho salmon (Oncorhynchus kisutch)","Lefebvre, KA; Noren, DP; Schultz, IR; Bogard, SM; Wilson, J; Eberhart, BTL","Aquatic Toxicology","81","3","10.1016/j.aquatox.2006.12.009","Article","English"
2006,"Depuration of microcystins in tilapia fish exposed to natural populations of toxic cyanobacteria: A laboratory study","Mohamed, ZA; Hussein, AA","Ecotoxicology and Environmental Safety","63","3","10.1016/j.ecoenv.2005.02.006","Article","English"
2023,"Identification of Monitoring Organ in Bivalves for Early Warning of Paralytic Shellfish Toxins Accumulation","Meng, DT; Shi, JX; Li, ML; Wei, ZC; Wang, YR; Xu, YQ; Li, YB; Bao, ZM; Hu, XL","Journal of Ocean University of China","22","1","10.1007/s11802-023-5402-2","Article","English"
2007,"Paralytic shellfish toxins in zooplankton, mussels, lobsters and caged Atlantic salmon, Salmo salar, during a bloom of Alexandrium fundyense off Grand Manan Island, in the Bay of Fundy","Sephton, DH; Haya, X; Martin, JL; LeGresley, MM; Page, FH","Harmful Algae","6","5","10.1016/j.hal.2007.03.002","Article","English"
2005,"Modeling of depuration of paralytic shellfish toxins in Chlamys nobilis and Perna viridis","Yu, KN; Choi, MC; Shen, XY; Wu, RSS; Wang, WX; Lam, PKS","Marine Pollution Bulletin","50","4","10.1016/j.marpolbul.2005.01.019","Article","English"
2003,"Uptake and depuration of 4-monylphenol by the benthic invertebrate Gammarus pulex:: How important is feeding rate?","Gross-Sorokin, MY; Grist, EPM; Cooke, M; Crane, M","Environmental Science and Technology","37","10","10.1021/es020092n","Article","English"
2006,"Estimating the accumulation and transfer of Nodularia spumigena toxins by the blue mussel Mytilus edulis:: An appraisal from culture and mesocosm experiments","Strogyloudi, E; Giannakourou, A; Legrand, C; Ruehl, A; Granéli, E","Toxicon","48","4","10.1016/j.toxicon.2006.05.009","Article","English"
2008,"Distribution of toxins in various tissues of crucian carp intraperitoneally injected with hepatotoxic microcystins","Lei, HH; Xie, P; Chen, J; Liang, GD; Dai, M; Zhang, XZ","Environmental Toxicology and Chemistry","27","5","10.1897/07-522.1","Article","English"
2007,"Modelling the accumulation of PSP toxins in Thau Lagoon oysters (Crassostrea gigas) from trials using mixed cultures of Alexandrium catenella and Thalassiosira weissflogii","Lassus, P; Amzil, Z; Baron, R; Séchet, V; Barillé, L; Abadie, E; Bardouil, M; Sibat, M; Truquet, P; Bérard, JB; Gueguen, M","Aquatic Living Resources","20","1","10.1051/alr:2007016","Article; Proceedings Paper","English"
2023,"Tracing the fate of microcystins from irrigation water to food chains: Studies with Fragaria vulgaris and Meriones shawi","Haida, M; El Khalloufi, F; Tamegart, L; Mugani, R; Essadki, Y; Redouane, E; Azevedo, J; Araújo, MJ; Campos, A; Vasconcelos, V; Gamrani, H; Oudra, B","Toxicon","236",NA,"10.1016/j.toxicon.2023.107345","Article","English"
2009,"Proteomics Identification of Azaspiracid Toxin Biomarkers in Blue Mussels, Mytilus edulis","Nzoughet, JK; Hamilton, JTG; Botting, CH; Douglas, A; Devine, L; Nelson, J; Elliott, CT","Molecular and Cellular Proteomics","8","8","10.1074/mcp.M800561-MCP200","Article","English"
2020,"Uptake and Depuration Kinetics of Pacific Ciguatoxins in Orange-Spotted Grouper (Epinephelus coioides)","Li, J; Mak, YL; Chang, YH; Xiao, CG; Chen, YM; Shen, JC; Wang, Q; Ruan, YF; Lam, PKS","Environmental Science and Technology","54","7","10.1021/acs.est.9b07888","Article","English"
2010,"Distribution and linkage of domoic acid (amnesic shellfish poisoning toxins) in subcellular fractions of the digestive gland of the scallop Pecten maximus","Mauriz, A; Blanco, J","Toxicon","55","2-3","10.1016/j.toxicon.2009.10.017","Article","English"
2012,"Spirolide uptake and detoxification by Crassostrea gigas exposed to the toxic dinoflagellate Alexandrium ostenfeldii","Medhioub, W; Lassus, P; Truquet, P; Bardouil, M; Amzil, Z; Sechet, V; Sibat, M; Soudant, P","Aquaculture","358",NA,"10.1016/j.aquaculture.2012.06.023","Article","English"
1998,"Accumulation of paralytic shellfish poisoning toxins in the bivalve Aulacomya ater and two carnivorous gastropods Concholepas concholepas and Argobuccinum ranelliformes during an Alexandrium catenella bloom in southern Chile","Compagnon, D; Lembeye, G; Marcos, N; Ruiz-Tagle, N; Lagos, N","Journal of Shellfish Research","17","1",NA,"Article","English"
2017,"Proposed Biotransformation Pathways for New Metabolites of Paralytic Shellfish Toxins Based on Field and Experimental Mussel Samples","Ding, L; Qiu, JB; Li, AF","Journal of Agricultural and Food Chemistry","65","27","10.1021/acs.jafc.7b02101","Article","English"
2001,"Uptake and fate of diarrhetic shellfish poisoning toxins from the dinoflagellate Prorocentrum lima in the bay scallop Argopecten irradians","Bauder, AG; Cembella, AD; Bricelj, VM; Quilliam, MA","Marine Ecology Progress Series","213",NA,"10.3354/meps213039","Article","English"
2012,"Analysis of paralytic shellfish toxins and their metabolites in shellfish from the North Yellow Sea of China","Li, A; Ma, J; Cao, J; Wang, Q; Yu, R; Thomas, K; Quilliam, MA","Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure and Risk Assessment","29","9","10.1080/19440049.2012.699005","Article","English"
2009,"Protein-Bound Toxins-Update 2009","Jourde-Chiche, N; Dou, L; Cerini, C; Dignat-George, F; Vanholder, R; Brunet, P","Seminars in Dialysis","22","4","10.1111/j.1525-139X.2009.00576.x","Article","English"
1995,"MODIFIED IMMUNOASSAYS FOR POLYETHER TOXINS - IMPLICATIONS OF BIOLOGICAL MATRICES, METABOLIC STATES, AND EPITOPE RECOGNITION","BADEN, DG; MELINEK, R; SECHET, V; TRAINER, VL; SCHULTZ, DR; REIN, KS; TOMAS, CR; DELGADO, J; HALE, L","Journal of Aoac International","78","2",NA,"Article; Proceedings Paper","English"
2009,"Recent trends in paralytic shellfish toxins in Puget Sound, relationships to climate, and capacity for prediction of toxic events","Moore, SK; Mantua, NJ; Hickey, BM; Trainer, VL","Harmful Algae","8","3","10.1016/j.hal.2008.10.003","Article","English"
2020,"The occurrence of lipophilic toxins in shellfish from the Middle Adriatic Sea","Talic, S; Skobic, D; Dedic, A; Nazlic, N; Ujevic, I; Ivankovic, A; Pavela-Vrancic, M","Toxicon","186",NA,"10.1016/j.toxicon.2020.07.026","Article","English"
2018,"Application of activated carbon to accelerate detoxification of paralytic shellfish toxins from mussels Mytilus galloprovincialis and scallops Chlamys farreri","Qiu, JB; Fan, H; Liu, T; Liang, X; Meng, FP; Quilliam, MA; Li, AF","Ecotoxicology and Environmental Safety","148",NA,"10.1016/j.ecoenv.2017.10.005","Article","English"
2008,"Bacterial degradation of paralytic shellfish toxins","Donovan, CJ; Ku, JC; Quilliam, MA; Gill, TA","Toxicon","52","1","10.1016/j.toxicon.2008.05.005","Article","English"
2023,"Paralytic Shellfish Toxins in the Gastropod Concholepas concholepas: Variability, Toxin Profiles and Mechanisms for Toxicity Reduction","Seguel, M; Molinet, C; Díaz, M; Alvarez, G; García, C; Marín, A; Millanao, MO; Díaz, PA","Marine Drugs","21","1","10.3390/md21010044","Article","English"
2011,"Microencapsulation of okadaic acid as a tool for studying the accumulation of DSP toxins in mussels","Rossignoli, AE; Fernández, D; Acosta, CP; Blanco, J","Marine Environmental Research","71","1","10.1016/j.marenvres.2010.11.003","Article","English"
2021,"A Microencapsulation Method for Delivering Tetrodotoxin to Bivalves to Investigate Uptake and Accumulation","Biessy, L; Smith, KF; Wood, SA; Tidy, A; van Ginkel, R; Bowater, JRD; Hawes, I","Marine Drugs","19","1","10.3390/md19010033","Article","English"
2012,"Detection and sub-cellular distribution of the amnesic shellfish toxin, domoic acid, in the digestive gland of Octopus vulgaris during periods of toxin absence","Lage, S; Raimundo, J; Brotas, V; Costa, PR","Marine Biology Research","8","8","10.1080/17451000.2012.659668","Article","English"
2021,"Critical Review and Conceptual and Quantitative Models for the Transfer and Depuration of Ciguatoxins in Fishes","Holmes, MJ; Venables, B; Lewis, RJ","Toxins","13","8","10.3390/toxins13080515","Review","English"
2022,"Distinct Solute Removal Patterns by Similar Surface High-Flux Membranes in Haemodiafiltration: The Adsorption Point of View","Gomez, M; Bañon-Maneus, E; Arias-Guillén, M; Fontseré, N; Broseta, JJ; Ojeda, R; Maduell, F","Blood Purification","51","1","10.1159/000514936","Article","English"
2020,"Root vegetables bioaccumulate microcystins-LR in a developmental stage-dependent manner under realistic exposure scenario: The case of carrot and radish","Levizou, E; Papadimitriou, T; Papavasileiou, E; Papadimitriou, N; Kormas, KA","Agricultural Water Management","240",NA,"10.1016/j.agwat.2020.106274","Article","English"
2011,"Esterification of okadaic acid in the mussel Mytilus galloprovincialis","Rossignoli, AE; Fernández, D; Regueiro, J; Mariño, C; Blanco, J","Toxicon","57","5","10.1016/j.toxicon.2011.02.003","Article","English"
2005,"Depurative efficiency of intermediate and large molecules with different hemodialysis modalities","Maduell, F","Nefrologia","25",NA,NA,"Article","Spanish"
1999,"Dynamics of microcystins in the mussel Mytilus galloprovincialis","Amorim, A; Vasconcelos, V","Toxicon","37","7","10.1016/S0041-0101(98)00231-1","Article","English"
2021,"Effects of the toxic dinoflagellate Alexandrium catenella on the behaviour and physiology of the blue mussel Mytilus edulis","Lavaud, R; Durier, G; Nadalini, JB; Filgueira, R; Comeau, LA; Babarro, JMF; Michaud, S; Scarratt, M; Tremblay, R","Harmful Algae","108",NA,"10.1016/j.hal.2021.102097","Article","English"
2015,"Immunological and physiological responses of the periwinkle Littorina littorea during and after exposure to the toxic dinoflagellate Alexandrium minutum","Neves, RAF; Figueiredo, GM; Valentin, JL; Scardua, PMD; Hégaret, H","Aquatic Toxicology","160",NA,"10.1016/j.aquatox.2015.01.010","Article","English"
2008,"Metabolism of pectenotoxins in brown crabs Cancer pagurus fed blue mussels Mytilus edulis","Li, ZX","Journal of Venomous Animals and Toxins Including Tropical Diseases","14","3",NA,"Article","English"
2010,"Decrease of marine toxin content in bivalves by industrial processes","Reboreda, A; Lago, J; Chapela, MJ; Vieites, JM; Botana, LM; Alfonso, A; Cabado, AG","Toxicon","55","2-3","10.1016/j.toxicon.2009.07.029","Article","English"
2007,"The influence of size on domoic acid concentration in king scallop, Pecten maximus (L.)","Bogan, YM; Harkin, AL; Gillespie, J; Kennedy, DJ; Hess, P; Slater, JW","Harmful Algae","6","1","10.1016/j.hal.2006.05.005","Article","English"
1996,"Role of the kidneys in bioaccumulation of paralytic toxins by scallop (Pecten maximus) tissues","Lassus, P; Bardouil, M; Ledoux, M; Bohec, M; Murail, I; Fremy, JM","Journal of Natural Toxins","5","1",NA,"Article","English"
2008,"Cyanobacterial toxins: a qualitative meta-analysis of concentrations, dosage and effects in freshwater, estuarine and marine biota","Ibelings, BW; Havens, KE","Cyanobacterial Harmful Algal Blooms: State of The Science and Research Needs","619",NA,NA,"Article; Proceedings Paper","English"
2013,"Okadaic Acid Meet and Greet: An Insight into Detection Methods, Response Strategies and Genotoxic Effects in Marine Invertebrates","Prego-Faraldo, MV; Valdiglesias, V; Méndez, J; Eirín-López, JM","Marine Drugs","11","8","10.3390/md11082829","Review","English"
2008,"Uptake, elimination, and biotransformation of aqueous and dietary DDT in marine fish","Kwong, RWM; Yu, PKN; Lam, PKS; Wang, WX","Environmental Toxicology and Chemistry","27","10","10.1897/07-608.1","Article","English"
2009,"Pseudoalteromonas Bacteria Are Capable of Degrading Paralytic Shellfish Toxins","Donovan, CJ; Garduño, RA; Kalmokoff, M; Ku, JC; Quilliam, MA; Gill, TA","Applied and Environmental Microbiology","75","21","10.1128/AEM.01384-09","Article","English"
2015,"Uptake and elimination of brevetoxin in the invasive green mussel, Perna viridis, during natural Karenia brevis blooms in southwest Florida","McFarland, K; Jean, F; Soudant, P; Volety, AK","Toxicon","97",NA,"10.1016/j.toxicon.2015.02.005","Article","English"
2008,"First report on azaspiracid and yessotoxin groups detection in French shellfish","Amzil, Z; Sibat, M; Royer, F; Savar, V","Toxicon","52","1","10.1016/j.toxicon.2008.05.006","Article","English"
2021,"Diversity and regional distribution of harmful algal events along the Atlantic margin of Europe","Bresnan, E; Arévalo, F; Belin, C; Branco, MAC; Cembella, AD; Clarke, D; Correa, J; Davidson, K; Dhanji-Rapkova, M; Lozano, RF; Fernández-Tejedor, M; Guofinnsson, H; Carbonell, DJ; Laza-Martinez, A; Lemoine, M; Lewis, AM; Menédez, LM; Maskrey, BH; McKinney, A; Pazos, Y; Revilla, M; Siano, R; Silva, A; Swan, S; Turner, AD; Schweibold, L; Provoost, P; Enevoldsen, H","Harmful Algae","102",NA,"10.1016/j.hal.2021.101976","Article","English"
2016,"Evidence of freshwater algal toxins in marine shellfish: Implications for human and aquatic health","Gibble, CM; Peacock, MB; Kudela, RM","Harmful Algae","59",NA,"10.1016/j.hal.2016.09.007","Article","English"
2006,"Influence of intracellular toxin concentrations on cylindrospermopsin bioaccumulation in a freshwater gastropod (Melanoides tuberculata)","White, SH; Duivenvoorden, LJ; Fabbro, LD; Eaglesham, GK","Toxicon","47","5","10.1016/j.toxicon.2005.12.011","Article","English"
2010,"Quantitative Determination of Gymnodimine-A by High Performance Liquid Chromatography in Contaminated Clams from Tunisia Coastline","Marrouchi, R; Dziri, F; Belayouni, N; Hamza, A; Benoit, E; Molgó, J; Kharrat, R","Marine Biotechnology","12","5","10.1007/s10126-009-9245-7","Article","English"
2017,"Investigation and characterization of Shiga toxin-producing Escherichia coli present in mussels from harvesting areas in Galician southern Rias (NW Spain)","Rodriguez-Souto, RR; Garrido-Maestu, A; Pastoriza-Fontan, A; Lozano-Leon, A","Journal of Food Safety","37","4","10.1111/jfs.12367","Article","English"
2005,"MARS® (Molecular Adsorbents Recirculating System). New technique of extracorporeal depuration in liver failure","Calatayud, MV; Torre, MC; García-Fernández, N","Enfermeria Intensiva","16","3","10.1016/S1130-2399(05)73397-6","Article","Spanish"
2002,"Mechanism and prediction for contamination of freshwater bivalves (Unionidae) with the cyanobacterial toxin microcystin in hypereutrophic Lake Suwa, Japan","Yokoyama, A; Park, HD","Environmental Toxicology","17","5","10.1002/tox.10075","Article","English"
2007,"Dynamics of glutathione-S-transferases in Mytilus galloprovincialis exposed to toxic Microcystis aeruginosa cells, extracts and pure toxins","Vasconcelos, VM; Wiegand, C; Pflugmacher, S","Toxicon","50","6","10.1016/j.toxicon.2007.06.010","Article","English"
2024,"Bioaccumulation of β-methylamino-L-alanine (BMAA) by mussels exposed to the cyanobacteria Microcystis aeruginosa☆","Peters, SJ; Mitrovic, SM; Rodgers, KJ; Bishop, DP","Environmental Pollution","363",NA,"10.1016/j.envpol.2024.125081","Article","English"
2006,"Transfer and metabolism of paralytic shellfish poisoning from scallop (Chlamys nobilis) to spiny lobster (Panulirus stimpsoni)","Jiang, TJ; Niu, T; Xu, YX","Toxicon","48","8","10.1016/j.toxicon.2006.08.002","Article","English"
2020,"Multiple biomarkers response in a Neotropical fish exposed to paralytic shellfish toxins (PSTs)","Calado, SLD; Santos, GS; Vicentini, M; Bozza, DC; Prodocimo, V; de Magalhaes, VF; Cestari, MM; de Assis, HCS","Chemosphere","238",NA,"10.1016/j.chemosphere.2019.124616","Article","English"
2017,"The relationship between Pseudo-nitzschia (Peragallo) and domoic acid in Scottish shellfish","Bresnan, E; Fryer, RJ; Fraser, S; Smith, N; Stobo, L; Brown, N; Turrell, E","Harmful Algae","63",NA,"10.1016/j.hal.2017.01.004","Article","English"
2002,"Emerita analoga (Stimpson) as an indicator species for paralytic shellfish poisoning toxicity along the California coast","Bretz, CK; Manouki, TJ; Kvitek, RG","Toxicon","40","8","10.1016/S0041-0101(02)00127-7","Article","English"
2017,"Reduction of diarrhetic shellfish poisoning (DSP) toxins accumulation in cultured mussels by means of rope clustering and hydrodynamic barriers","Blanco, J; Martin, H; Mariño, C","Aquaculture","479",NA,"10.1016/j.aquaculture.2017.05.034","Article","English"
2012,"Erythrocyte glutathione transferase: a new biomarker for hemodialysis adequacy, overcoming the Kt/Vurea dogma?","Noce, A; Ferrannini, M; Fabrini, R; Bocedi, A; Dessì, M; Galli, F; Federici, G; Palumbo, R; Di Daniele, N; Ricci, G","Cell Death and Disease","3",NA,"10.1038/cddis.2012.112","Article","English"
2010,"Application of Solid Phase Adsorption Toxin Tracking (SPATT) for field detection of the hydrophilic phycotoxins domoic acid and saxitoxin in coastal California","Lane, JQ; Roddam, CM; Langlois, GW; Kudela, RM","Limnology and Oceanography-Methods","8",NA,"10.4319/lom.2010.8.0645","Article","English"
2011,"Lipophilic Toxin Profile in Mytilus galloprovincialis during Episodes of Diarrhetic Shellfish Poisoning (DSP) in the NE Adriatic Sea in 2006","Gladan, ZN; Ujevic, I; Milandri, A; Marasovic, I; Ceredi, A; Pigozzi, S; Arapov, J; Skejic, S","Molecules","16","1","10.3390/molecules16010888","Article","English"
2015,"Transfer of microcystin from freshwater lakes to Puget Sound, WA and toxin accumulation in marine mussels (Mytilus trossulus)","Preece, EP; Moore, BC; Hardy, FJ","Ecotoxicology and Environmental Safety","122",NA,"10.1016/j.ecoenv.2015.07.013","Article","English"
2018,"The role of marine biotoxins on the trophic transfer of Mn and Zn in fish","Pouil, S; Clausing, RJ; Metian, M; Bustamante, P; Bottein, MYD","Aquatic Toxicology","198",NA,"10.1016/j.aquatox.2018.03.004","Article","English"
2001,"Survey of historical New Zealand shellfish samples for accumulation of gymnodimine","Stirling, DJ","New Zealand Journal of Marine and Freshwater Research","35","4","10.1080/00288330.2001.9517047","Article; Proceedings Paper","English"
2008,"Cellular distribution of okadaic acid in the digestive gland of Mytilus galloprovincialis (Lamarck, 1819)","Rossignoli, AE; Blanco, J","Toxicon","52","8","10.1016/j.toxicon.2008.09.003","Article","English"
2015,"Differential okadaic acid accumulation and detoxification by oysters and mussels during natural and simulated Dinophysis blooms","Mafra, LL; Ribas, T; Alves, TP; Proença, LAO; Schramm, MA; Uchida, H; Suzuki, T","Fisheries Science","81","4","10.1007/s12562-015-0882-7","Article","English"
2006,"Comparison of domoic acid concentration in king scallops, Pecten maximus from seabed and suspended culture systems","Bogan, YM; Kennedy, D; Harkin, AL; Gillespie, J; Hess, P; Slater, JW","Journal of Shellfish Research","25","1","10.2983/0730-8000(2006)25[129:CODACI]2.0.CO;2","Article","English"
2018,"Age-dependent antioxidant responses to the bioconcentration of microcystin-LR in the mysid crustacean, Neomysis awatschensi","Min, BH; Ravikumar, Y; Lee, DH; Choi, KS; Kim, BM; Rhee, JS","Environmental Pollution","232",NA,"10.1016/j.envpol.2017.09.050","Article","English"
